user_id,answer_type,correct_sum,total_questions
91596,Problem-Solving,1,2
79543,Knowledge-Based,224,247
82511,Knowledge-Based,23,23
80709,Problem-Solving,0,1
88433,Knowledge-Based,1,2
89213,Problem-Solving,2,2
96245,Problem-Solving,19,45
83169,Problem-Solving,7,21
81663,Knowledge-Based,27,32
79621,Strategic Reasoning,2,4
80160,Knowledge-Based,23,26
78393,Knowledge-Based,25,26
82475,Problem-Solving,4,4
96231,Knowledge-Based,239,268
78102,Problem-Solving,1,10
84502,Problem-Solving,4,6
78448,Knowledge-Based,3,10
71151,Problem-Solving,0,1
78501,Problem-Solving,98,259
79509,Knowledge-Based,232,255
78550,Knowledge-Based,20,32
79034,Problem-Solving,35,69
71563,Knowledge-Based,5,5
88231,Problem-Solving,3,4
89669,Knowledge-Based,7,10
78705,Knowledge-Based,3,10
79184,Problem-Solving,8,19
78559,Problem-Solving,169,303
96228,Knowledge-Based,258,272
78900,Knowledge-Based,1,14
78912,Knowledge-Based,259,271
